-1.57, 1.41
-1.57, 1.44
-1.57, 1.45
-1.57, 1.46
-1.57, 1.50
-1.57, 1.52
-1.57, 1.53
-1.57, 1.52
-1.57, 1.51
-1.57, 1.52
-1.57, 1.54
-1.57, 1.55
-1.57, 1.53
-1.57, 1.51
-1.57, 1.49
-1.57, 1.50
-1.54, 1.42
-1.50, 1.42
-1.50, 1.43
-1.51, 1.43
-1.50, 1.43
-1.50, 1.43
-1.47, 1.42
-1.45, 1.42
-1.48, 1.43
-1.48, 1.42
-1.48, 1.41
-1.48, 1.42
-1.49, 1.42
-1.49, 1.41
-1.52, 1.42
-1.53, 1.43
-1.52, 1.42
-1.51, 1.42
-1.55, 1.43
-1.55, 1.43
-1.55, 1.43
-1.55, 1.44
-1.56, 1.44
-1.55, 1.44
-1.56, 1.44
-1.56, 1.44
-1.55, 1.44
-1.56, 1.44
-1.57, 1.45
-1.56, 1.45
-1.56, 1.45
-1.56, 1.45
-1.55, 1.44
-1.55, 1.44
-1.52, 1.43
-1.50, 1.42
-1.51, 1.42
-1.52, 1.43
-1.49, 1.41
-1.50, 1.42
-1.49, 1.41
-1.47, 1.40
-1.48, 1.40
-1.47, 1.39
-1.44, 1.38
-1.43, 1.37
-1.44, 1.37
-1.43, 1.37
-1.44, 1.37
-1.45, 1.38
-1.45, 1.38
-1.44, 1.37
-1.46, 1.38
-1.48, 1.39
-1.47, 1.39
-1.47, 1.39
-1.48, 1.39
-1.48, 1.40
-1.48, 1.40
-1.47, 1.39
-1.49, 1.40
-1.48, 1.40
-1.49, 1.40
-1.50, 1.41
-1.50, 1.41
-1.50, 1.41
-1.50, 1.41
-1.49, 1.40
-1.51, 1.41
-1.51, 1.41
-1.50, 1.41
-1.50, 1.41
-1.51, 1.41
-1.51, 1.41
-1.50, 1.41
-1.51, 1.41
-1.51, 1.41
-1.51, 1.41
-1.51, 1.41
-1.51, 1.41
-1.51, 1.41
-1.51, 1.41
-1.51, 1.41
-1.50, 1.41
-1.50, 1.41
-1.50, 1.41
-1.50, 1.41
